Item_ID,SKU_Code,Category,Supplier,Daily_Demand,Lead_Time_Days,Current_Inventory,Safety_Stock,Reorder_Point,Unit_Cost,Stockout_Risk_Score,Warehouse
1,SKU-00001,Home,Supplier_A,58,6,543,52,97,102.77,0.496,WH3
2,SKU-00002,Beauty,Supplier_B,90,3,478,240,302,1469.55,0.73,WH2
3,SKU-00003,Clothing,Supplier_C,16,7,87,67,95,1642.41,0.728,WH2
4,SKU-00004,Beauty,Supplier_B,196,10,348,215,280,153.69,0.425,WH2
5,SKU-00005,Beauty,Supplier_A,10,6,221,103,144,1178.99,0.544,WH3
6,SKU-00006,Grocery,Supplier_A,57,5,494,45,352,1613.79,0.924,WH1
7,SKU-00007,Clothing,Supplier_A,148,3,537,239,267,1144.03,0.632,WH2
8,SKU-00008,Clothing,Supplier_A,94,13,34,236,89,174.44,0.643,WH3
9,SKU-00009,Clothing,Supplier_B,9,4,61,192,252,1402.22,0.785,WH2
10,SKU-00010,Beauty,Supplier_A,77,7,562,271,165,168.16,0.115,WH2
11,SKU-00011,Home,Supplier_A,178,9,712,140,140,1644.06,0.523,WH3
12,SKU-00012,Clothing,Supplier_C,18,9,793,74,107,133.92,0.959,WH2
13,SKU-00013,Beauty,Supplier_A,176,6,308,195,59,317.92,0.362,WH2
14,SKU-00014,Grocery,Supplier_C,195,6,552,126,305,586.46,0.295,WH3
15,SKU-00015,Home,Supplier_A,110,11,713,195,366,1285.06,0.601,WH1
16,SKU-00016,Grocery,Supplier_A,56,14,715,283,298,1953.9,0.221,WH1
17,SKU-00017,Home,Supplier_C,120,4,263,160,366,279.75,0.556,WH1
18,SKU-00018,Beauty,Supplier_A,30,8,680,160,55,328.28,0.156,WH1
19,SKU-00019,Electronics,Supplier_B,57,14,787,45,380,769.3,0.58,WH3
20,SKU-00020,Home,Supplier_B,113,7,631,104,237,1680.63,0.602,WH3
21,SKU-00021,Grocery,Supplier_A,33,2,586,143,284,961.1,0.418,WH1
22,SKU-00022,Beauty,Supplier_B,23,5,717,171,232,677.14,0.383,WH3
23,SKU-00023,Home,Supplier_C,51,7,617,53,336,1144.35,0.245,WH1
24,SKU-00024,Electronics,Supplier_A,140,12,193,292,172,558.02,0.331,WH2
25,SKU-00025,Electronics,Supplier_A,27,7,553,249,207,832.26,0.498,WH2
26,SKU-00026,Clothing,Supplier_C,121,12,528,61,372,698.58,0.248,WH2
27,SKU-00027,Clothing,Supplier_C,110,13,263,290,62,1618.07,0.783,WH1
28,SKU-00028,Grocery,Supplier_C,167,13,79,83,364,1852.3,0.709,WH2
29,SKU-00029,Home,Supplier_A,57,4,123,247,103,1531.17,0.269,WH1
30,SKU-00030,Home,Supplier_C,100,7,670,176,326,906.21,0.097,WH3
31,SKU-00031,Clothing,Supplier_C,190,13,322,149,92,1033.45,0,WH2
32,SKU-00032,Home,Supplier_B,9,11,690,148,316,293.89,0.597,WH2
33,SKU-00033,Home,Supplier_B,20,7,763,244,158,1506.39,0.211,WH2
34,SKU-00034,Electronics,Supplier_A,21,13,96,12,372,1213.13,0.013,WH3
35,SKU-00035,Clothing,Supplier_B,164,10,37,265,215,1809.76,0.359,WH1
36,SKU-00036,Beauty,Supplier_B,106,10,553,287,155,441.19,0.962,WH2
37,SKU-00037,Clothing,Supplier_C,184,3,203,13,100,1531.47,0.69,WH2
38,SKU-00038,Beauty,Supplier_C,24,5,676,279,253,1385.11,0.858,WH1
39,SKU-00039,Electronics,Supplier_B,116,10,569,221,351,568.4,0.145,WH2
40,SKU-00040,Grocery,Supplier_B,124,14,300,225,92,1351.39,0.073,WH2
41,SKU-00041,Home,Supplier_B,198,5,307,279,332,1852.53,0.012,WH2
42,SKU-00042,Electronics,Supplier_A,115,9,674,25,134,1840.95,0.956,WH1
43,SKU-00043,Home,Supplier_A,5,11,544,73,266,1453.27,0.3,WH2
44,SKU-00044,Grocery,Supplier_A,62,13,717,248,207,143.74,0.46,WH3
45,SKU-00045,Grocery,Supplier_B,97,4,493,25,399,1750.92,0.395,WH1
46,SKU-00046,Electronics,Supplier_B,176,4,286,61,176,1332.67,0.73,WH2
47,SKU-00047,Grocery,Supplier_A,10,10,628,28,240,655.35,0.31,WH3
48,SKU-00048,Beauty,Supplier_A,112,12,376,102,315,415.14,0.535,WH3
49,SKU-00049,Grocery,Supplier_B,107,11,20,270,109,276.6,0.996,WH3
50,SKU-00050,Home,Supplier_C,54,9,46,26,332,147.96,0.444,WH3
